listing_id,listing_timestamp,region,postcode,latitude,longitude,surface_area,number_of_rooms,number_of_bedrooms,build_year,energy_label,property_type,garden,asking_price,sale_price,sale_date,ingestion_timestamp
b1d718e6-d18b-4a49-834c-04f2e1906885,2024-04-18,Amsterdam,9779 CD,52.67557890684335,4.926995060581453,159.0,6,5,2013,D,detached,False,1003226.3365788773,937174.7752257013,2024-05-15,2026-07-14 07:23:59.180118
efac6b3b-f6d7-4743-9620-8ae4a872b343,2025-03-10,Maastricht,1574 AA,52.5317889521948,6.426745060987258,115.0,5,3,1982,B,detached,True,524547.6517252773,492022.1599082485,2025-06-12,2026-07-14 07:23:59.180170
76f7679c-4dd9-4761-960c-83c5543abac5,2024-10-31,Groningen,7146 AB,52.555689559052304,5.17388952818952,177.0,6,5,1984,A+,detached,False,748594.6097771232,768079.8140671342,2024-12-18,2026-07-14 07:23:59.180211
89625b89-1bd5-4455-b335-6efbbbee8ef3,2023-05-25,The Hague,8493 EF,53.207146536245205,4.968695947575436,165.0,6,5,1966,D,apartment,True,674669.7663687604,683221.8915137547,2023-09-04,2026-07-14 07:23:59.180249
6d2ca513-a97e-4441-b287-9854ef8f5dc7,2024-12-03,Rotterdam,6982 CD,52.853111793929344,4.349492495319144,156.0,5,3,1964,A++,detached,True,693908.6294404204,719159.0892645693,2025-02-03,2026-07-14 07:23:59.180285
224277f0-f2d7-4bea-b917-0670b0b12bd9,2024-05-23,The Hague,5981 CD,52.65507608384854,4.536461682048823,159.0,6,4,1991,E,detached,True,856179.963646315,853526.5853353863,2024-06-09,2026-07-14 07:23:59.180321
c2c9c5f6-9e44-4e2a-b032-5b3ef211428e,2024-01-26,Nijmegen,6956 EF,52.6095802921601,6.035050961665087,51.0,2,1,1954,B,bungalow,False,132519.47894115906,136378.09536615072,2024-04-19,2026-07-14 07:23:59.180355
40f5242e-4a14-445a-aac6-ce7153e86c51,2025-03-21,Utrecht,5508 AB,52.571531839144725,4.7537802228696915,63.0,2,1,2003,C,apartment,False,306200.5002991334,296724.10070215596,2025-05-21,2026-07-14 07:23:59.180389
6aaaa6e2-260d-4c0e-8ba7-512231c77942,2024-03-21,Eindhoven,7296 AB,53.0753352837385,5.123403755359472,212.0,7,6,1958,G,terraced_house,True,642922.9847336961,652454.4285147191,2024-06-25,2026-07-14 07:23:59.180423
8bebc91a-bad2-474a-bd4f-c4dc474aa142,2024-12-28,Amsterdam,6212 AA,53.0791944339264,5.0802325994377595,123.0,5,4,1983,B,apartment,True,596849.6774589178,578594.9213123161,2025-04-01,2026-07-14 07:23:59.180456
050add70-0c1b-4303-9ff5-539937e2a061,2023-06-11,Rotterdam,5445 CD,52.88146685826657,4.426482421342215,61.0,2,1,1956,C,semi_detached,False,272153.5189228948,254285.9594942529,2023-07-05,2026-07-14 07:23:59.180489
